,teams,points
0,Portsmouth,28
1,Chelsea,678
2,Blackburn,124
3,Watford,126
4,Wigan,157
5,Everton,510
6,QPR,92
7,Huddersfield,37
8,Newcastle,321
9,Liverpool,591
10,Sunderland,314
11,Leicester,213
12,Crystal Palace,220
13,Birmingham,89
14,Reading,28
15,Fulham,222
16,Norwich,158
17,Tottenham,639
18,Cardiff,30
19,Burnley,157
20,West Brom,342
21,Arsenal,649
22,Blackpool,39
23,Swansea,312
24,Hull,136
25,Bolton,121
26,Man United,693
27,West Ham,350
28,Aston Villa,284
29,Southampton,302
30,Wolves,103
31,Bournemouth,132
32,Man City,714
33,Stoke,412
34,Brighton,40
35,Middlesbrough,28
